pclass,fare,age,sex,sibsp,parch,survived
748,3,14.4,34.0,1,1,1,0
749,3,14.4,28.0,0,1,1,0
750,3,7.8958,27.0,1,0,0,0
751,3,7.8958,25.0,1,0,0,0
752,3,24.15,24.0,1,2,0,0
753,3,8.05,22.0,1,0,0,0
754,3,24.15,21.0,1,2,0,0
755,3,8.05,17.0,1,2,0,0
758,3,17.4,36.5,1,1,0,1
759,3,17.4,36.0,0,1,0,1
760,3,9.5,30.0,1,0,0,1
761,3,9.5,16.0,1,0,0,0
762,3,20.575,1.0,1,1,2,1
763,3,20.575,0.1667,0,1,2,1
764,3,20.575,26.0,1,1,2,0
765,3,20.575,33.0,0,1,2,1
766,3,7.8958,25.0,1,0,0,0
769,3,7.25,22.0,1,0,0,0
770,3,7.25,36.0,1,0,0,0
771,3,7.8792,19.0,0,0,0,1
772,3,7.8958,17.0,1,0,0,0
773,3,8.6625,42.0,1,0,0,0
774,3,7.8958,43.0,1,0,0,0
776,3,7.75,32.0,1,0,0,0
777,3,8.05,19.0,1,0,0,1
778,3,12.475,30.0,0,0,0,1
779,3,7.75,24.0,0,0,0,0
780,3,8.05,23.0,0,0,0,1
781,3,7.8958,33.0,1,0,0,0
782,3,7.75,65.0,1,0,0,0
783,3,7.55,24.0,1,0,0,1
784,3,13.9,23.0,1,1,0,0
785,3,13.9,22.0,0,1,0,1
786,3,7.775,18.0,1,0,0,0
787,3,7.775,16.0,1,0,0,0
788,3,6.975,45.0,1,0,0,0
790,3,7.2292,39.0,1,0,2,0
791,3,7.2292,17.0,1,1,1,0
792,3,7.2292,15.0,1,1,1,0
793,3,7.25,47.0,1,0,0,0
794,3,12.475,5.0,0,0,0,1
796,3,15.1,40.5,1,0,0,0
797,3,7.75,40.5,1,0,0,0
799,3,7.7958,18.0,1,0,0,0
803,3,7.8792,26.0,1,0,0,0
806,3,34.375,21.0,0,2,2,0
807,3,34.375,9.0,0,2,2,0
809,3,34.375,18.0,1,2,2,0
810,3,34.375,16.0,1,1,3,0
811,3,34.375,48.0,0,1,3,0
814,3,7.7417,25.0,1,0,0,0
817,3,8.05,22.0,1,0,0,0
818,3,7.7333,16.0,0,0,0,1
820,3,20.525,9.0,1,0,2,1
821,3,20.525,33.0,1,1,1,0
822,3,7.85,41.0,1,0,0,0
823,3,20.525,31.0,0,1,1,1
824,3,7.05,38.0,1,0,0,0
825,3,46.9,9.0,1,5,2,0
826,3,46.9,1.0,1,5,2,0
827,3,46.9,11.0,1,5,2,0
828,3,46.9,10.0,0,5,2,0
829,3,46.9,16.0,0,5,2,0
830,3,46.9,14.0,1,5,2,0
831,3,46.9,40.0,1,1,6,0
832,3,46.9,43.0,0,1,6,0
833,3,8.05,51.0,1,0,0,0
834,3,8.3625,32.0,1,0,0,0
836,3,9.8458,20.0,1,0,0,0
837,3,7.925,37.0,1,2,0,0
838,3,7.925,28.0,1,2,0,0
839,3,7.775,19.0,1,0,0,0
840,3,8.85,24.0,0,0,0,0
841,3,7.7333,17.0,0,0,0,0
844,3,15.85,28.0,1,1,0,0
845,3,15.85,24.0,0,1,0,1
846,3,9.5,20.0,1,0,0,0
847,3,7.2292,23.5,1,0,0,0
848,3,14.1083,41.0,1,2,0,0
849,3,7.8542,26.0,1,1,0,0
850,3,7.8542,21.0,1,0,0,0
851,3,14.1083,45.0,0,1,0,1
853,3,7.25,25.0,1,0,0,0
855,3,18.7875,11.0,1,0,0,0
857,3,6.975,27.0,1,0,0,1
859,3,6.75,18.0,0,0,0,0
860,3,7.925,26.0,0,0,0,1
861,3,7.925,23.0,0,0,0,0
862,3,8.9625,22.0,0,0,0,1
863,3,7.8958,28.0,1,0,0,0
864,3,7.775,28.0,0,0,0,0
866,3,12.2875,2.0,0,0,1,1
867,3,12.2875,22.0,0,1,1,1
868,3,6.45,43.0,1,0,0,0
869,3,22.525,28.0,1,0,0,0
870,3,7.925,27.0,0,0,0,1
873,3,7.65,42.0,1,0,0,0
875,3,7.2292,30.0,1,0,0,0
877,3,7.925,27.0,0,1,0,0
878,3,7.925,25.0,0,1,0,0
880,3,7.8958,29.0,1,0,0,1
881,3,7.7958,21.0,1,0,0,1
883,3,7.8542,20.0,1,0,0,0
884,3,7.8542,48.0,1,0,0,0
885,3,7.0542,17.0,1,1,0,0
888,3,6.4958,34.0,1,0,0,0
889,3,7.775,26.0,1,0,0,1
890,3,7.7958,22.0,1,0,0,0
891,3,8.6542,33.0,1,0,0,0
892,3,7.775,31.0,1,0,0,0
893,3,7.8542,29.0,1,0,0,0
894,3,11.1333,4.0,1,1,1,1
895,3,11.1333,1.0,0,1,1,1
896,3,0.0,49.0,1,0,0,0
897,3,7.775,33.0,1,0,0,0
898,3,0.0,19.0,1,0,0,0
899,3,11.1333,27.0,0,0,2,1
904,3,7.8958,23.0,1,0,0,0
905,3,7.8542,32.0,1,0,0,1
906,3,7.8542,27.0,1,0,0,0
907,3,9.825,20.0,0,1,0,0
908,3,9.825,21.0,0,1,0,0
909,3,7.925,32.0,1,0,0,1
910,3,7.125,17.0,1,0,0,0
911,3,8.4333,21.0,1,0,0,0
912,3,7.8958,30.0,1,0,0,0
913,3,7.7958,21.0,1,0,0,1
914,3,7.8542,33.0,1,0,0,0
915,3,7.5208,22.0,1,0,0,0
916,3,13.4167,4.0,0,0,1,1
917,3,13.4167,39.0,1,0,1,1
919,3,7.2292,18.5,1,0,0,0
924,3,7.8292,34.5,1,0,0,0
925,3,8.05,44.0,1,0,0,0
932,3,8.6625,22.0,0,2,0,0
933,3,8.6625,26.0,1,2,0,0
934,3,22.025,4.0,0,0,2,1
935,3,22.025,29.0,1,3,1,1
936,3,22.025,26.0,0,1,1,1
937,3,12.1833,1.0,0,1,1,0
938,3,7.8542,18.0,1,1,1,0
939,3,12.1833,36.0,0,0,2,0
941,3,7.2292,25.0,1,0,0,1
943,3,9.5875,37.0,0,0,0,0
947,3,7.25,22.0,0,0,0,1
949,3,56.4958,26.0,1,0,0,1
950,3,9.4833,29.0,1,0,0,0
951,3,7.775,29.0,1,0,0,0
952,3,7.775,22.0,1,0,0,0
953,3,7.225,22.0,1,0,0,1
959,3,7.925,32.0,1,0,0,0
960,3,6.4375,34.5,1,0,0,0
963,3,0.0,36.0,1,0,0,0
964,3,24.15,39.0,1,0,0,0
965,3,9.5,24.0,1,0,0,0
966,3,7.775,25.0,0,0,0,0
967,3,7.75,45.0,0,0,0,0
968,3,15.55,36.0,1,1,0,0
969,3,15.55,30.0,0,1,0,0
970,3,7.925,20.0,1,1,0,1
972,3,56.4958,28.0,1,0,0,0
974,3,16.1,30.0,1,1,0,0
975,3,16.1,26.0,0,1,0,0
977,3,7.25,20.5,1,0,0,0
978,3,8.6625,27.0,1,0,0,1
979,3,7.0542,51.0,1,0,0,0
980,3,7.8542,23.0,0,0,0,1
981,3,7.5792,32.0,1,0,0,1
985,3,7.1417,24.0,1,0,0,1
986,3,7.125,22.0,1,0,0,0
990,3,7.925,29.0,1,0,0,0
992,3,7.75,30.5,0,0,0,0
995,3,7.8958,35.0,1,0,0,0
996,3,7.8958,33.0,1,0,0,0
1007,3,8.0292,15.0,0,0,0,1
1008,3,7.75,35.0,0,0,0,0
1010,3,16.1,24.0,1,1,0,0
1011,3,16.1,19.0,0,1,0,0
1015,3,8.05,55.5,1,0,0,0
1017,3,7.775,21.0,1,0,0,1
1019,3,7.8958,24.0,1,0,0,0
1020,3,7.8958,21.0,1,0,0,0
1021,3,7.8958,28.0,1,0,0,0
1024,3,7.65,25.0,1,0,0,0
1025,3,12.475,6.0,1,0,1,1
1026,3,12.475,27.0,0,0,1,1
1031,3,8.05,34.0,1,0,0,0
1040,3,7.75,24.0,0,0,0,1
1045,3,7.75,18.0,1,0,0,0
1046,3,7.8958,22.0,1,0,0,0
1047,3,7.225,15.0,0,0,0,1
1048,3,15.7417,1.0,0,0,2,1
1049,3,15.7417,20.0,1,1,1,1
1050,3,15.7417,19.0,0,1,1,1
1051,3,8.05,33.0,1,0,0,0
1056,3,11.2417,12.0,1,1,0,1
1057,3,11.2417,14.0,0,1,0,1
1058,3,7.925,29.0,0,0,0,0
1059,3,8.05,28.0,1,0,0,0
1060,3,7.775,18.0,0,0,0,1
1061,3,7.8542,26.0,0,0,0,1
1062,3,7.8542,21.0,1,0,0,0
1063,3,7.125,41.0,1,0,0,0
1064,3,7.925,39.0,1,0,0,1
1065,3,7.8,21.0,1,0,0,0
1066,3,7.2292,28.5,1,0,0,0
1067,3,7.75,22.0,0,0,0,1
1068,3,6.2375,61.0,1,0,0,0
1075,3,9.225,23.0,1,0,0,0
1079,3,7.775,22.0,0,0,0,1
1082,3,3.1708,9.0,1,0,1,1
1083,3,22.525,28.0,1,0,0,0
1084,3,8.4042,42.0,1,0,1,0
1086,3,7.8542,31.0,0,0,0,0
1087,3,7.8542,28.0,1,0,0,0
1088,3,7.775,32.0,1,0,0,1
1089,3,9.225,20.0,1,0,0,0
1090,3,8.6625,23.0,0,0,0,0
1091,3,8.6625,20.0,0,0,0,0
1092,3,8.6625,20.0,1,0,0,0
1093,3,9.2167,16.0,1,0,0,0
1094,3,8.6833,31.0,0,0,0,1
1096,3,21.075,2.0,1,3,1,0
1097,3,21.075,6.0,1,3,1,0
1098,3,21.075,3.0,0,3,1,0
1099,3,21.075,8.0,0,3,1,0
1100,3,21.075,29.0,0,0,4,0
1101,3,39.6875,1.0,1,4,1,0
1102,3,39.6875,7.0,1,4,1,0
1103,3,39.6875,2.0,1,4,1,0
1104,3,39.6875,16.0,1,4,1,0
1105,3,39.6875,14.0,1,4,1,0
1106,3,39.6875,41.0,0,0,5,0
1107,3,8.6625,21.0,1,0,0,0
1108,3,14.5,19.0,1,0,0,0
1110,3,7.8958,32.0,1,0,0,0
1111,3,13.775,0.75,1,1,1,0
1112,3,13.775,3.0,0,1,1,0
1113,3,13.775,26.0,0,0,2,0
1117,3,7.925,21.0,1,0,0,0
1118,3,7.925,25.0,1,0,0,0
1119,3,7.25,22.0,1,0,0,0
1120,3,7.775,25.0,1,1,0,1
1125,3,8.05,24.0,1,0,0,0
1126,3,7.8958,28.0,0,0,0,0
1127,3,7.8958,19.0,1,0,0,0
1129,3,7.775,25.0,1,1,0,0
1130,3,7.775,18.0,0,0,0,0
1131,3,8.05,32.0,1,0,0,1
1133,3,8.6625,17.0,1,0,0,0
1134,3,8.6625,24.0,1,0,0,0
1139,3,7.8958,38.0,1,0,0,0
1140,3,8.05,21.0,1,0,0,0
1141,3,29.125,10.0,1,4,1,0
1142,3,29.125,4.0,1,4,1,0
1143,3,29.125,7.0,1,4,1,0
1144,3,29.125,2.0,1,4,1,0
1145,3,29.125,8.0,1,4,1,0
1146,3,29.125,39.0,0,0,5,0
1147,3,39.6875,22.0,0,0,0,0
1148,3,7.125,35.0,1,0,0,0
1152,3,14.5,50.0,1,1,0,0
1153,3,14.5,47.0,0,1,0,0
1156,3,20.2125,2.0,0,1,1,0
1157,3,20.2125,18.0,1,1,1,0
1158,3,20.2125,41.0,0,0,2,0
1160,3,8.05,50.0,1,0,0,0
1161,3,8.05,16.0,1,0,0,0
1165,3,7.225,25.0,1,0,0,0
1169,3,7.25,38.5,1,0,0,0
1171,3,69.55,14.5,1,8,2,0
1181,3,9.325,24.0,1,0,0,0
1182,3,7.65,21.0,0,0,0,1
1183,3,7.925,39.0,1,0,0,0
1187,3,16.7,1.0,0,1,1,1
1188,3,16.7,24.0,0,0,2,1
1189,3,16.7,4.0,0,1,1,1
1190,3,9.5,25.0,1,0,0,1
1191,3,8.05,20.0,1,0,0,0
1192,3,8.05,24.5,1,0,0,0
1196,3,9.5,29.0,1,0,0,1
1201,3,7.2292,22.0,1,0,0,0
1203,3,7.8958,40.0,1,0,0,0
1204,3,7.925,21.0,1,0,0,0
1205,3,7.4958,18.0,0,0,0,1
1206,3,27.9,4.0,1,3,2,0
1207,3,27.9,10.0,1,3,2,0
1208,3,27.9,9.0,0,3,2,0
1209,3,27.9,2.0,0,3,2,0
1210,3,27.9,40.0,1,1,4,0
1211,3,27.9,45.0,0,1,4,0
1217,3,7.65,19.0,1,0,0,0
1218,3,8.05,30.0,1,0,0,0
1220,3,8.05,32.0,1,0,0,0
1222,3,8.6625,33.0,1,0,0,0
1223,3,7.55,23.0,0,0,0,1
1224,3,8.05,21.0,1,0,0,0
1226,3,7.8958,19.0,1,0,0,0
1227,3,9.8375,22.0,0,0,0,0
1228,3,7.925,31.0,1,0,0,1
1229,3,8.6625,27.0,1,0,0,0
1230,3,10.4625,2.0,0,0,1,0
1231,3,10.4625,29.0,0,1,1,0
1232,3,8.05,16.0,1,0,0,1
1233,3,7.925,44.0,1,0,0,1
1234,3,7.05,25.0,1,0,0,0
1235,3,7.775,74.0,1,0,0,0
1236,3,9.225,14.0,1,0,0,1
1237,3,7.7958,24.0,1,0,0,0
1238,3,7.7958,25.0,1,0,0,1
1239,3,8.05,34.0,1,0,0,0
1240,3,8.5167,0.4167,1,0,1,1
1244,3,8.5167,16.0,0,1,1,1
1248,3,7.925,32.0,1,0,0,0
1251,3,8.05,30.5,1,0,0,0
1252,3,8.05,44.0,1,0,0,0
1254,3,0.0,25.0,1,0,0,1
1256,3,15.2458,7.0,1,1,1,1
1257,3,15.2458,9.0,0,1,1,1
1258,3,15.2458,29.0,0,0,2,1
1259,3,7.8958,36.0,1,0,0,0
1260,3,9.8417,18.0,0,0,0,1
1261,3,9.5875,63.0,0,0,0,1
1263,3,14.5,11.5,1,1,1,0
1264,3,14.5,40.5,1,0,2,0
1265,3,24.15,10.0,0,0,2,0
1266,3,24.15,36.0,1,1,1,0
1267,3,24.15,30.0,0,1,1,0
1269,3,9.5,33.0,1,0,0,0
1270,3,9.5,28.0,1,0,0,0
1271,3,9.5,28.0,1,0,0,0
1272,3,9.0,47.0,1,0,0,0
1273,3,18.0,18.0,0,2,0,0
1274,3,18.0,31.0,1,3,0,0
1275,3,18.0,16.0,1,2,0,0
1276,3,18.0,31.0,0,1,0,0
1277,3,7.225,22.0,1,0,0,1
1278,3,7.8542,20.0,1,0,0,0
1279,3,7.8542,14.0,0,0,0,0
1280,3,7.8958,22.0,1,0,0,0
1281,3,9.0,22.0,1,0,0,0
1285,3,9.5,32.5,1,0,0,0
1286,3,7.2292,38.0,0,0,0,1
1287,3,7.75,51.0,1,0,0,0
1288,3,6.4958,18.0,1,1,0,0
1289,3,6.4958,21.0,1,1,0,0
1290,3,7.0,47.0,0,1,0,1
1294,3,16.1,28.5,1,0,0,0
1295,3,7.25,21.0,1,0,0,0
1296,3,8.6625,27.0,1,0,0,0
1298,3,9.5,36.0,1,0,0,0
1299,3,14.4542,27.0,1,1,0,0
1300,3,14.4542,15.0,0,1,0,1
1301,3,7.225,45.5,1,0,0,0
1304,3,14.4542,14.5,0,1,0,0
1306,3,7.225,26.5,1,0,0,0
1307,3,7.225,27.0,1,0,0,0
1308,3,7.875,29.0,1,0,0,0
